TargetGene,Ensembl_ID
CCDC127,ENSG00000164366
SDHA,ENSG00000073578
HRAT5,ENSG00000248925
PDCD6,ENSG00000249915
EXOC3-AS1,ENSG00000221990
EXOC3,ENSG00000180104
PP7080,ENSG00000188242
SLC9A3-AS1,ENSG00000225138
LOC100996325,
CEP72,ENSG00000112877
TPPP,ENSG00000171368
ZDHHC11,ENSG00000188818
BRD9,ENSG00000028310
TRIP13,ENSG00000071539
LOC100506688,
NKD2,ENSG00000145506
SLC12A7,ENSG00000113504
CTD-3080P12.3,ENSG00000249201
SLC6A19,ENSG00000174358
TERT,ENSG00000164362
CLPTM1L,ENSG00000049656
LINC01511,ENSG00000250584
SLC6A3,ENSG00000142319
LPCAT1,ENSG00000153395
SDHAP3,ENSG00000185986
LOC728613,
MRPL36,ENSG00000171421
NDUFS6,ENSG00000145494
LOC105374620,
LINC01019,ENSG00000248118
ICE1,ENSG00000164151
MED10,ENSG00000133398
SRD5A1,ENSG00000145545
NSUN2,ENSG00000037474
PAPD7,ENSG00000112941
FASTKD3,ENSG00000124279
MTRR,ENSG00000124275
LINC02226,ENSG00000245729
MIR4458HG,ENSG00000247516
SEMA5A,ENSG00000112902
SNHG18,ENSG00000250786
FAM173B,ENSG00000150756
CCT5,ENSG00000150753
CMBL,ENSG00000164237
MARCH6,ENSG00000145495
ROPN1L-AS1,ENSG00000250600
ROPN1L,ENSG00000145491
LINC02212,ENSG00000249396
LINC02213,ENSG00000249160
ANKRD33B,ENSG00000164236
DAP,ENSG00000112977
LINC01194,ENSG00000248131
TRIO,ENSG00000038382
FAM105A,ENSG00000145569
OTULIN,ENSG00000154124
ANKH,ENSG00000154122
ZNF622,ENSG00000173545
FAM134B,ENSG00000154153
MYO10,ENSG00000145555
GUSBP1,ENSG00000183666
LINC01021,ENSG00000250337
DROSHA,ENSG00000113360
C5orf22,ENSG00000082213
PDZD2,ENSG00000133401
GOLPH3,ENSG00000113384
MTMR12,ENSG00000150712
ZFR,ENSG00000056097
SUB1,ENSG00000113387
TARS,ENSG00000113407
RXFP3,ENSG00000182631
SLC45A2,ENSG00000164175
AMACR,ENSG00000242110
RAI14,ENSG00000039560
TTC23L,ENSG00000205838
RAD1,ENSG00000113456
BRIX1,ENSG00000113460
DNAJC21,ENSG00000168724
SPEF2,ENSG00000152582
LMBRD2,ENSG00000164187
SKP2,ENSG00000145604
NADK2,ENSG00000152620
RANBP3L,ENSG00000164188
NIPBL-AS1,ENSG00000285967
NIPBL,ENSG00000164190
NUP155,ENSG00000113569
WDR70,ENSG00000082068
EGFLAM,ENSG00000164318
EGFLAM-AS4,ENSG00000248730
LIFR-AS1,ENSG00000244968
OSMR-AS1,ENSG00000249740
OSMR,ENSG00000145623
RICTOR,ENSG00000164327
FYB,ENSG00000082074
DAB2,ENSG00000153071
PTGER4,ENSG00000171522
TTC33,ENSG00000113638
PRKAA1,ENSG00000132356
LOC100506548,
RPL37,ENSG00000145592
CARD6,ENSG00000132357
C7,ENSG00000112936
OXCT1-AS1,ENSG00000248668
OXCT1,ENSG00000083720
C5orf51,ENSG00000205765
FBXO4,ENSG00000151876
GHR,ENSG00000112964
CCDC152,ENSG00000198865
SELENOP,ENSG00000250722
FLJ32255,
ANXA2R,ENSG00000177721
LOC153684,
LOC100132356,
LOC100506639,
ZNF131,ENSG00000172262
HMGCS1,ENSG00000112972
TMEM267,ENSG00000151881
C5orf34,ENSG00000172244
PAIP1,ENSG00000172239
NNT,ENSG00000112992
NNT-AS1,ENSG00000248092
BRCAT54,ENSG00000251141
MRPS30,ENSG00000112996
ISL1,ENSG00000016082
LOC642366,
ITGA2,ENSG00000164171
MOCS2,ENSG00000164172
LOC257396,
FST,ENSG00000134363
NDUFS4,ENSG00000164258
ARL15,ENSG00000185305
LINC01033,ENSG00000249069
SNX18,ENSG00000178996
LOC102467080,
GPX8,ENSG00000164294
CDC20B,ENSG00000164287
MCIDAS,ENSG00000234602
CCNO,ENSG00000152669
DHX29,ENSG00000067248
SKIV2L2,ENSG00000039123
RNF138P1,ENSG00000250853
PLPP1,ENSG00000067113
IL6ST,ENSG00000134352
FLJ31104,ENSG00000227908
MAP3K1,ENSG00000095015
SETD9,ENSG00000155542
MIER3,ENSG00000155545
GPBP1,ENSG00000062194
LOC101928505,
RAB3C,ENSG00000152932
PDE4D,ENSG00000113448
DEPDC1B,ENSG00000035499
ELOVL7,ENSG00000164181
