cell_type	assay	accession	url	ext	file_size	bio_reps	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	output_type	assembly
H1	DNase	ENCFF966UXQ	https://www.encodeproject.org/files/ENCFF966UXQ/@@download/ENCFF966UXQ.bam	bam	17312399278	2	ENCSR951BNY	ENCODE4	dnase-alignment-step-v-1-0	2021-11-05T17:30:21.380161+00:00	true	data/H1/DNase/ENCFF966UXQ.bam	unfiltered alignments	GRCh38
H1	H3K27ac	ENCFF120QMN	https://www.encodeproject.org/files/ENCFF120QMN/@@download/ENCFF120QMN.bam	bam	888705774	2	ENCSR000ANP	ENCODE4	chip-seq-alignment-step-v-2-0	2021-02-01T19:22:29.183656+00:00	true	data/H1/H3K27ac/ENCFF120QMN.bam	unfiltered alignments	GRCh38
H1	ATAC	NOT_FOUND			0						false			
H1	HiC	NOT_FOUND			0						false			
A549	DNase	ENCFF995HBI	https://www.encodeproject.org/files/ENCFF995HBI/@@download/ENCFF995HBI.bam	bam	8256206864	1	ENCSR000EIE	ENCODE4	dnase-alignment-step-v-1-0	2020-11-20T17:32:20.220762+00:00	true	data/A549/DNase/ENCFF995HBI.bam	unfiltered alignments	GRCh38
A549	H3K27ac	ENCFF670MAA	https://www.encodeproject.org/files/ENCFF670MAA/@@download/ENCFF670MAA.bam	bam	1373266061	3	ENCSR027BPE	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-02T06:14:39.446933+00:00	true	data/A549/H3K27ac/ENCFF670MAA.bam	unfiltered alignments	GRCh38
A549	ATAC	ENCFF440SLA	https://www.encodeproject.org/files/ENCFF440SLA/@@download/ENCFF440SLA.bam	bam	24409556792	3	ENCSR032RGS	ENCODE4	atac-seq-alignment-step-v-2-1	2021-03-16T18:57:16.639943+00:00	true	data/A549/ATAC/ENCFF440SLA.bam	unfiltered alignments	GRCh38
A549	HiC	4DNFID68JQY9	https://data.4dnucleome.org/files-processed/4DNFID68JQY9/@@download/4DNFID68JQY9.hic	hic	0						false	data/A549/HiC/4DNFID68JQY9.hic	4DN processed	
GM12878	DNase	ENCFF940NSD	https://www.encodeproject.org/files/ENCFF940NSD/@@download/ENCFF940NSD.bam	bam	7454165894	2	ENCSR000EMT	ENCODE4	dnase-alignment-step-v-1-0	2020-11-18T17:57:51.409620+00:00	true	data/GM12878/DNase/ENCFF940NSD.bam	unfiltered alignments	GRCh38
GM12878	H3K27ac	ENCFF865OOP	https://www.encodeproject.org/files/ENCFF865OOP/@@download/ENCFF865OOP.bam	bam	555926038	2	ENCSR000AKC	ENCODE4	chip-seq-alignment-step-v-2-0	2020-09-30T06:27:23.641717+00:00	true	data/GM12878/H3K27ac/ENCFF865OOP.bam	unfiltered alignments	GRCh38
