eid	roadmap_name	encode_biosample	match_quality	assay	accession	url	ext	file_size	bio_rep	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	source
E003	H1	H1	exact	DNase	ENCFF031VZX	https://www.encodeproject.org/files/ENCFF031VZX/@@download/ENCFF031VZX.bam	bam	18777639200	1	ENCSR951BNY	ENCODE4	dnase-alignment-step-v-1-0	2021-11-05T17:30:18.029363+00:00	true	data/E003_H1/DNase/ENCFF031VZX.bam	ENCODE
E003	H1	H1	exact	DNase	ENCFF966UXQ	https://www.encodeproject.org/files/ENCFF966UXQ/@@download/ENCFF966UXQ.bam	bam	17312399278	2	ENCSR951BNY	ENCODE4	dnase-alignment-step-v-1-0	2021-11-05T17:30:21.380161+00:00	false	data/E003_H1/DNase/ENCFF966UXQ.bam	ENCODE
E003	H1	H1	exact	H3K27ac	ENCFF104RJG	https://www.encodeproject.org/files/ENCFF104RJG/@@download/ENCFF104RJG.bam	bam	1069795994	1	ENCSR000ANP	ENCODE4	chip-seq-alignment-step-v-2-0	2021-02-01T19:22:26.667614+00:00	true	data/E003_H1/H3K27ac/ENCFF104RJG.bam	ENCODE
E003	H1	H1	exact	H3K27ac	ENCFF120QMN	https://www.encodeproject.org/files/ENCFF120QMN/@@download/ENCFF120QMN.bam	bam	888705774	2	ENCSR000ANP	ENCODE4	chip-seq-alignment-step-v-2-0	2021-02-01T19:22:29.183656+00:00	false	data/E003_H1/H3K27ac/ENCFF120QMN.bam	ENCODE
E003	H1	H1	exact	HiC	4DNFIIMZB6Y9	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a0859349-5f06-4ad3-b56f-b1166b34a9eb/4DNFIIMZB6Y9.hic	hic	15489596647	0		4DN	in situ Hi-C	2020-07-03T13:01:37.104960+00:00	true	data/E003_H1/HiC/4DNFIIMZB6Y9.hic	4DN
E004	H1_BMP4_Mesendoderm	mesendoderm	exact	DNase	ENCFF585KAH	https://www.encodeproject.org/files/ENCFF585KAH/@@download/ENCFF585KAH.bam	bam	22055547724	1	ENCSR714DIF	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T22:06:39.890082+00:00	true	data/E004_H1_BMP4_Mesendoderm/DNase/ENCFF585KAH.bam	ENCODE
E004	H1_BMP4_Mesendoderm	mesendoderm	exact	H3K27ac	ENCFF513CDW	https://www.encodeproject.org/files/ENCFF513CDW/@@download/ENCFF513CDW.bam	bam	956354863	1	ENCSR473PNT	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-19T17:55:11.195208+00:00	false	data/E004_H1_BMP4_Mesendoderm/H3K27ac/ENCFF513CDW.bam	ENCODE
E004	H1_BMP4_Mesendoderm	mesendoderm	exact	H3K27ac	ENCFF613EMM	https://www.encodeproject.org/files/ENCFF613EMM/@@download/ENCFF613EMM.bam	bam	1758531551	2	ENCSR473PNT	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-19T17:55:12.864085+00:00	true	data/E004_H1_BMP4_Mesendoderm/H3K27ac/ENCFF613EMM.bam	ENCODE
E004	H1_BMP4_Mesendoderm	mesendoderm	exact	HiC	NOT_FOUND			0	0					false		
E005	H1_BMP4_Trophoblast	trophoblast cell	close	DNase	ENCFF235GOT	https://www.encodeproject.org/files/ENCFF235GOT/@@download/ENCFF235GOT.bam	bam	17012802786	1	ENCSR179CDH	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T22:18:06.231489+00:00	true	data/E005_H1_BMP4_Trophoblast/DNase/ENCFF235GOT.bam	ENCODE
E005	H1_BMP4_Trophoblast	trophoblast cell	close	H3K27ac	ENCFF524GXY	https://www.encodeproject.org/files/ENCFF524GXY/@@download/ENCFF524GXY.bam	bam	1193546292	1	ENCSR425PQI	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-19T18:28:36.544174+00:00	false	data/E005_H1_BMP4_Trophoblast/H3K27ac/ENCFF524GXY.bam	ENCODE
E005	H1_BMP4_Trophoblast	trophoblast cell	close	H3K27ac	ENCFF102QDE	https://www.encodeproject.org/files/ENCFF102QDE/@@download/ENCFF102QDE.bam	bam	1549673745	2	ENCSR425PQI	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-19T18:28:38.556657+00:00	true	data/E005_H1_BMP4_Trophoblast/H3K27ac/ENCFF102QDE.bam	ENCODE
E005	H1_BMP4_Trophoblast	trophoblast cell	close	HiC	NOT_FOUND			0	0					false		
E006	H1_Mesenchymal_SC	mesenchymal stem cell	exact	DNase	ENCFF701GQV	https://www.encodeproject.org/files/ENCFF701GQV/@@download/ENCFF701GQV.bam	bam	29143076786	1	ENCSR731QLJ	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T21:34:18.069055+00:00	true	data/E006_H1_Mesenchymal_SC/DNase/ENCFF701GQV.bam	ENCODE
E006	H1_Mesenchymal_SC	mesenchymal stem cell	exact	H3K27ac	ENCFF221VBG	https://www.encodeproject.org/files/ENCFF221VBG/@@download/ENCFF221VBG.bam	bam	5455716808	1	ENCSR013KEC	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-20T08:05:39.236090+00:00	false	data/E006_H1_Mesenchymal_SC/H3K27ac/ENCFF221VBG.bam	ENCODE
