cell_type	assay	accession	url	ext	file_size	bio_reps	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	output_type	assembly
E000_Universal_Human_Reference	DNase	NO_MAPPING			0						false			
E000_Universal_Human_Reference	H3K27ac	NO_MAPPING			0						false			
E000_Universal_Human_Reference	ATAC	NO_MAPPING			0						false			
E000_Universal_Human_Reference	HiC	NO_MAPPING			0						false			
E003_H1	DNase	ENCFF966UXQ	https://www.encodeproject.org/files/ENCFF966UXQ/@@download/ENCFF966UXQ.bam	bam	17312399278	2	ENCSR951BNY	ENCODE4	dnase-alignment-step-v-1-0	2021-11-05T17:30:21.380161+00:00	true	data/E003_H1/DNase/ENCFF966UXQ.bam	unfiltered alignments	GRCh38
E003_H1	H3K27ac	ENCFF120QMN	https://www.encodeproject.org/files/ENCFF120QMN/@@download/ENCFF120QMN.bam	bam	888705774	2	ENCSR000ANP	ENCODE4	chip-seq-alignment-step-v-2-0	2021-02-01T19:22:29.183656+00:00	true	data/E003_H1/H3K27ac/ENCFF120QMN.bam	unfiltered alignments	GRCh38
E003_H1	ATAC	NOT_FOUND			0						false			
E003_H1	HiC	NOT_FOUND			0						false			
E004_H1_BMP4_Mesendoderm	DNase	ENCFF585KAH	https://www.encodeproject.org/files/ENCFF585KAH/@@download/ENCFF585KAH.bam	bam	22055547724	1	ENCSR714DIF	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T22:06:39.890082+00:00	true	data/E004_H1_BMP4_Mesendoderm/DNase/ENCFF585KAH.bam	unfiltered alignments	GRCh38
E004_H1_BMP4_Mesendoderm	H3K27ac	ENCFF613EMM	https://www.encodeproject.org/files/ENCFF613EMM/@@download/ENCFF613EMM.bam	bam	1758531551	2	ENCSR473PNT	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-19T17:55:12.864085+00:00	true	data/E004_H1_BMP4_Mesendoderm/H3K27ac/ENCFF613EMM.bam	unfiltered alignments	GRCh38
E004_H1_BMP4_Mesendoderm	ATAC	NOT_FOUND			0						false			
E004_H1_BMP4_Mesendoderm	HiC	NOT_FOUND			0						false			
E005_H1_BMP4_Trophoblast	DNase	ENCFF235GOT	https://www.encodeproject.org/files/ENCFF235GOT/@@download/ENCFF235GOT.bam	bam	17012802786	1	ENCSR179CDH	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T22:18:06.231489+00:00	true	data/E005_H1_BMP4_Trophoblast/DNase/ENCFF235GOT.bam	unfiltered alignments	GRCh38
E005_H1_BMP4_Trophoblast	H3K27ac	ENCFF102QDE	https://www.encodeproject.org/files/ENCFF102QDE/@@download/ENCFF102QDE.bam	bam	1549673745	2	ENCSR425PQI	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-19T18:28:38.556657+00:00	true	data/E005_H1_BMP4_Trophoblast/H3K27ac/ENCFF102QDE.bam	unfiltered alignments	GRCh38
E005_H1_BMP4_Trophoblast	ATAC	NOT_FOUND			0						false			
E005_H1_BMP4_Trophoblast	HiC	NOT_FOUND			0						false			
E006_H1_Mesenchymal_SC	DNase	ENCFF701GQV	https://www.encodeproject.org/files/ENCFF701GQV/@@download/ENCFF701GQV.bam	bam	29143076786	1	ENCSR731QLJ	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T21:34:18.069055+00:00	true	data/E006_H1_Mesenchymal_SC/DNase/ENCFF701GQV.bam	unfiltered alignments	GRCh38
