chrom,TSS,gene_id,Gene name,Gene description,UTR5LEN_log10zscore,CDSLEN_log10zscore,INTRONLEN_log10zscore,UTR3LEN_log10zscore,UTR5GC,CDSGC,UTR3GC,ORFEXONDENSITY
X,100636750,ENSG00000000003,TSPAN6,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],-0.1007507556556228,-0.8118629705429312,-0.3388493498668778,0.4668245005048347,0.625,0.412,0.368,9.62
X,100584935,ENSG00000000005,TNMD,tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757],0.3106627041293787,-0.459531810566318,0.0100344757068571,-0.5850555795076766,0.47,0.419,0.3929999999999999,7.42
20,50958531,ENSG00000000419,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",-0.8880838526781296,-0.6001726730552439,0.2153537769787172,-0.3549342958201779,0.0,0.435,0.262,11.75
1,169893895,ENSG00000000457,SCYL3,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],0.3220042061451953,0.6958351889801546,0.4303986023744572,0.088565275721886,0.613,0.45,0.369,5.87
1,169795044,ENSG00000000460,C1orf112,chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565],1.0348994294476503,0.881128786014643,0.5811645395338345,0.358718299697185,0.411,0.421,0.355,8.67
1,27635142,ENSG00000000938,FGR,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",0.4841796731067029,0.2354869317214684,0.1759207861740636,0.2321886449255658,0.7020000000000001,0.5870000000000001,0.508,6.98
1,196652043,ENSG00000000971,CFH,complement factor H [Source:HGNC Symbol;Acc:HGNC:4883],0.3732058392433028,1.382202037860493,0.7978607028194334,-0.5202234980666323,0.396,0.3979999999999999,0.2769999999999999,5.99
6,143511719,ENSG00000001036,FUCA2,"fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:HGNC:4008]",-0.534407530148163,0.069075723848036,0.0329333745529199,0.2587123730785933,0.7859999999999999,0.483,0.352,5.02
6,53545100,ENSG00000001084,GCLC,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],0.8081369775194124,0.4854584881321918,0.4933447180325248,0.4886213691914108,0.752,0.449,0.3289999999999999,8.44
6,41072974,ENSG00000001167,NFYA,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],0.2599964834673845,-0.3386693229588614,0.2279411732675583,0.788004354942151,0.627,0.534,0.402,8.72
1,24413724,ENSG00000001460,STPG1,sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070],0.4083932782246245,-0.3895443507256362,0.5884664223465347,0.5325105033029427,0.471,0.465,0.54,8.05
1,24415801,ENSG00000001461,NIPAL3,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],0.6366501345154338,-0.1262548194581261,0.5613786333493169,-0.7469252614427399,0.568,0.531,0.434,9.11
X,65534786,ENSG00000001497,LAS1L,"LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]",-0.7309116185599586,0.6804279072504822,0.1604704645364773,-0.5149619253688247,0.659,0.5429999999999999,0.482,6.4
