ENSID,chrom,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_enformer,Gene name
ENSG00000000003,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,TSPAN6
ENSG00000000005,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,TNMD
ENSG00000000419,20,train,train,train,train,train,train,train,train,test,valid,train,train,valid,DPM1
ENSG00000000457,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,SCYL3
ENSG00000000460,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,C1orf112
ENSG00000000938,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,FGR
ENSG00000000971,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,CFH
ENSG00000001036,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,FUCA2
ENSG00000001084,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,GCLC
ENSG00000001167,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,NFYA
ENSG00000001460,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,STPG1
ENSG00000001461,1,valid,train,train,train,train,train,train,train,train,train,train,test,train,NIPAL3
ENSG00000001497,X,train,train,train,train,train,train,train,train,train,train,test,train,valid,LAS1L
ENSG00000001561,6,train,train,train,train,test,valid,train,train,train,train,train,train,train,ENPP4
ENSG00000001617,3,train,test,valid,train,train,train,train,train,train,train,valid,train,train,SEMA3F
ENSG00000001626,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CFTR
ENSG00000001629,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ANKIB1
ENSG00000001630,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CYP51A1
ENSG00000001631,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,KRIT1
ENSG00000002016,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,RAD52
ENSG00000002330,11,valid,train,train,train,train,train,train,train,train,test,train,train,train,BAD
ENSG00000002549,4,train,train,test,valid,train,train,train,train,train,train,train,train,train,LAP3
ENSG00000002586,X,train,train,train,train,train,train,train,train,train,train,test,train,train,CD99
ENSG00000002587,4,train,train,test,valid,train,train,train,train,train,train,train,train,train,HS3ST1
ENSG00000002726,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,AOC1
ENSG00000002745,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,WNT16
ENSG00000002746,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,HECW1
ENSG00000002822,7,train,train,train,train,train,test,valid,train,train,train,train,train,valid,MAD1L1
ENSG00000002834,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,LASP1
ENSG00000002919,17,train,train,train,train,train,test,valid,train,train,train,train,train,train,SNX11
ENSG00000002933,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,TMEM176A
ENSG00000003056,12,test,valid,train,train,train,train,train,train,train,train,train,train,train,M6PR
